province,employment_type,year,employment_unemployment_employment_rate
New Brunswick,"Unemployment  (x 1,000)46",2017,29.8
New Brunswick,"Unemployment  (x 1,000)47",2018,29.4
New Brunswick,Unemployment rate 6,1976,11.1
New Brunswick,Unemployment rate 7,1977,13.4
New Brunswick,Unemployment rate 8,1978,12.6
New Brunswick,Unemployment rate 9,1979,11
New Brunswick,Unemployment rate 10,1980,11.3
New Brunswick,Unemployment rate 11,1981,11.7
New Brunswick,Unemployment rate 12,1982,14.2
New Brunswick,Unemployment rate 13,1983,15.1
New Brunswick,Unemployment rate 14,1984,14.8
New Brunswick,Unemployment rate 15,1985,15.3
New Brunswick,Unemployment rate 16,1986,14.5
New Brunswick,Unemployment rate 17,1987,13.3
New Brunswick,Unemployment rate 18,1988,11.8
New Brunswick,Unemployment rate 19,1989,12.1
New Brunswick,Unemployment rate 20,1990,12.2
New Brunswick,Unemployment rate 21,1991,12.8
New Brunswick,Unemployment rate 22,1992,13.1
New Brunswick,Unemployment rate 23,1993,12.7
New Brunswick,Unemployment rate 24,1994,12.6
New Brunswick,Unemployment rate 25,1995,11.5
New Brunswick,Unemployment rate 26,1996,11.7
New Brunswick,Unemployment rate 27,1997,12.7
New Brunswick,Unemployment rate 28,1998,12.2
New Brunswick,Unemployment rate 29,1999,10.2
New Brunswick,Unemployment rate 30,2000,10.1
New Brunswick,Unemployment rate 31,2001,11.1
New Brunswick,Unemployment rate 32,2002,10.2
New Brunswick,Unemployment rate 33,2003,10.3
New Brunswick,Unemployment rate 34,2004,9.9
New Brunswick,Unemployment rate 35,2005,9.7
New Brunswick,Unemployment rate 36,2006,8.8
New Brunswick,Unemployment rate 37,2007,7.5
New Brunswick,Unemployment rate 38,2008,8.6
New Brunswick,Unemployment rate 39,2009,8.7
New Brunswick,Unemployment rate 40,2010,9.3
New Brunswick,Unemployment rate 41,2011,9.6
New Brunswick,Unemployment rate 42,2012,10.2
New Brunswick,Unemployment rate 43,2013,10.3
New Brunswick,Unemployment rate 44,2014,10
New Brunswick,Unemployment rate 45,2015,10
New Brunswick,Unemployment rate 46,2016,9.4
New Brunswick,Unemployment rate 47,2017,8.1
New Brunswick,Unemployment rate 48,2018,8
Quebec,"Employment  (x 1,000)4",1976,"2,507.10"
Quebec,"Employment  (x 1,000)5",1977,"2,518.80"
Quebec,"Employment  (x 1,000)6",1978,"2,559.70"
Quebec,"Employment  (x 1,000)7",1979,"2,657.40"
Quebec,"Employment  (x 1,000)8",1980,"2,721.50"
Quebec,"Employment  (x 1,000)9",1981,"2,757.90"
Quebec,"Employment  (x 1,000)10",1982,"2,604.90"
Quebec,"Employment  (x 1,000)11",1983,"2,652.50"
Quebec,"Employment  (x 1,000)12",1984,"2,725.00"
Quebec,"Employment  (x 1,000)13",1985,"2,812.80"
Quebec,"Employment  (x 1,000)14",1986,"2,904.00"
Quebec,"Employment  (x 1,000)15",1987,"2,991.90"
Quebec,"Employment  (x 1,000)16",1988,"3,046.60"
Quebec,"Employment  (x 1,000)17",1989,"3,090.50"
Quebec,"Employment  (x 1,000)18",1990,"3,108.10"
Quebec,"Employment  (x 1,000)19",1991,"3,055.50"
Quebec,"Employment  (x 1,000)20",1992,"3,004.10"
Quebec,"Employment  (x 1,000)21",1993,"3,001.10"
Quebec,"Employment  (x 1,000)22",1994,"3,065.20"
Quebec,"Employment  (x 1,000)23",1995,"3,107.50"
Quebec,"Employment  (x 1,000)24",1996,"3,100.10"
Quebec,"Employment  (x 1,000)25",1997,"3,136.90"
Quebec,"Employment  (x 1,000)26",1998,"3,217.90"
Quebec,"Employment  (x 1,000)27",1999,"3,295.00"
Quebec,"Employment  (x 1,000)28",2000,"3,373.60"
Quebec,"Employment  (x 1,000)29",2001,"3,408.30"
Quebec,"Employment  (x 1,000)30",2002,"3,526.10"
Quebec,"Employment  (x 1,000)31",2003,"3,582.20"
Quebec,"Employment  (x 1,000)32",2004,"3,625.80"
Quebec,"Employment  (x 1,000)33",2005,"3,650.80"
Quebec,"Employment  (x 1,000)34",2006,"3,685.10"
Quebec,"Employment  (x 1,000)35",2007,"3,775.30"
Quebec,"Employment  (x 1,000)36",2008,"3,811.50"
Quebec,"Employment  (x 1,000)37",2009,"3,776.30"
Quebec,"Employment  (x 1,000)38",2010,"3,847.60"
Quebec,"Employment  (x 1,000)39",2011,"3,877.50"
Quebec,"Employment  (x 1,000)40",2012,"3,903.40"
Quebec,"Employment  (x 1,000)41",2013,"3,943.70"
Quebec,"Employment  (x 1,000)42",2014,"3,928.90"
Quebec,"Employment  (x 1,000)43",2015,"3,972.30"
Quebec,"Employment  (x 1,000)44",2016,"3,993.80"
Quebec,"Employment  (x 1,000)45",2017,"4,070.50"
Quebec,"Employment  (x 1,000)46",2018,"4,103.50"
Quebec,"Unemployment  (x 1,000)5",1976,241.3
Quebec,"Unemployment  (x 1,000)6",1977,295.4
Quebec,"Unemployment  (x 1,000)7",1978,320.5
Quebec,"Unemployment  (x 1,000)8",1979,289.7
Quebec,"Unemployment  (x 1,000)9",1980,306.1
Quebec,"Unemployment  (x 1,000)10",1981,328
Quebec,"Unemployment  (x 1,000)11",1982,428.5
Quebec,"Unemployment  (x 1,000)12",1983,442.6
Quebec,"Unemployment  (x 1,000)13",1984,415.2
Quebec,"Unemployment  (x 1,000)14",1985,394.4
Quebec,"Unemployment  (x 1,000)15",1986,362.1
Quebec,"Unemployment  (x 1,000)16",1987,340.6
Quebec,"Unemployment  (x 1,000)17",1988,322.7
Quebec,"Unemployment  (x 1,000)18",1989,332
Quebec,"Unemployment  (x 1,000)19",1990,364.8
Quebec,"Unemployment  (x 1,000)20",1991,424.9
Quebec,"Unemployment  (x 1,000)21",1992,440
Quebec,"Unemployment  (x 1,000)22",1993,459.4
Quebec,"Unemployment  (x 1,000)23",1994,432.9
Quebec,"Unemployment  (x 1,000)24",1995,403.6
Quebec,"Unemployment  (x 1,000)25",1996,417.7
Quebec,"Unemployment  (x 1,000)26",1997,407.4
Quebec,"Unemployment  (x 1,000)27",1998,373.3
Quebec,"Unemployment  (x 1,000)28",1999,341.9
Quebec,"Unemployment  (x 1,000)29",2000,314.4
Quebec,"Unemployment  (x 1,000)30",2001,329.4
Quebec,"Unemployment  (x 1,000)31",2002,338.4
Quebec,"Unemployment  (x 1,000)32",2003,361.5
Quebec,"Unemployment  (x 1,000)33",2004,340.2
Quebec,"Unemployment  (x 1,000)34",2005,330.2
Quebec,"Unemployment  (x 1,000)35",2006,324.3
Quebec,"Unemployment  (x 1,000)36",2007,298.2
Quebec,"Unemployment  (x 1,000)37",2008,300.1
Quebec,"Unemployment  (x 1,000)38",2009,357.9
Quebec,"Unemployment  (x 1,000)39",2010,337.2
Quebec,"Unemployment  (x 1,000)40",2011,333.3
Quebec,"Unemployment  (x 1,000)41",2012,330.2
Quebec,"Unemployment  (x 1,000)42",2013,325.4
Quebec,"Unemployment  (x 1,000)43",2014,331.9
Quebec,"Unemployment  (x 1,000)44",2015,328.2
Quebec,"Unemployment  (x 1,000)45",2016,307.4
Quebec,"Unemployment  (x 1,000)46",2017,262.8
Quebec,"Unemployment  (x 1,000)47",2018,239.2
Quebec,Unemployment rate 6,1976,8.8
Quebec,Unemployment rate 7,1977,10.5
Quebec,Unemployment rate 8,1978,11.1
Quebec,Unemployment rate 9,1979,9.8
Quebec,Unemployment rate 10,1980,10.1
Quebec,Unemployment rate 11,1981,10.6
Quebec,Unemployment rate 12,1982,14.1
Quebec,Unemployment rate 13,1983,14.3
Quebec,Unemployment rate 14,1984,13.2
Quebec,Unemployment rate 15,1985,12.3
Quebec,Unemployment rate 16,1986,11.1
Quebec,Unemployment rate 17,1987,10.2
Quebec,Unemployment rate 18,1988,9.6
Quebec,Unemployment rate 19,1989,9.7
Quebec,Unemployment rate 20,1990,10.5
Quebec,Unemployment rate 21,1991,12.2
Quebec,Unemployment rate 22,1992,12.8
Quebec,Unemployment rate 23,1993,13.3
Quebec,Unemployment rate 24,1994,12.4
Quebec,Unemployment rate 25,1995,11.5
Quebec,Unemployment rate 26,1996,11.9
Quebec,Unemployment rate 27,1997,11.5
Quebec,Unemployment rate 28,1998,10.4
Quebec,Unemployment rate 29,1999,9.4
Quebec,Unemployment rate 30,2000,8.5
Quebec,Unemployment rate 31,2001,8.8
Quebec,Unemployment rate 32,2002,8.8
Quebec,Unemployment rate 33,2003,9.2
Quebec,Unemployment rate 34,2004,8.6
Quebec,Unemployment rate 35,2005,8.3
Quebec,Unemployment rate 36,2006,8.1
Quebec,Unemployment rate 37,2007,7.3
Quebec,Unemployment rate 38,2008,7.3
Quebec,Unemployment rate 39,2009,8.7
Quebec,Unemployment rate 40,2010,8.1
Quebec,Unemployment rate 41,2011,7.9
Quebec,Unemployment rate 42,2012,7.8
Quebec,Unemployment rate 43,2013,7.6
Quebec,Unemployment rate 44,2014,7.8
Quebec,Unemployment rate 45,2015,7.6
Quebec,Unemployment rate 46,2016,7.1
Quebec,Unemployment rate 47,2017,6.1
Quebec,Unemployment rate 48,2018,5.5
Ontario,"Employment  (x 1,000)4",1976,"3,672.40"
Ontario,"Employment  (x 1,000)5",1977,"3,742.00"
Ontario,"Employment  (x 1,000)6",1978,"3,859.90"
Ontario,"Employment  (x 1,000)7",1979,"4,025.60"
Ontario,"Employment  (x 1,000)8",1980,"4,100.60"
Ontario,"Employment  (x 1,000)9",1981,"4,223.80"
Ontario,"Employment  (x 1,000)10",1982,"4,129.40"
Ontario,"Employment  (x 1,000)11",1983,"4,183.70"
Ontario,"Employment  (x 1,000)12",1984,"4,343.90"
Ontario,"Employment  (x 1,000)13",1985,"4,508.40"
Ontario,"Employment  (x 1,000)14",1986,"4,669.00"
Ontario,"Employment  (x 1,000)15",1987,"4,823.00"
Ontario,"Employment  (x 1,000)16",1988,"5,014.40"
Ontario,"Employment  (x 1,000)17",1989,"5,124.30"
Ontario,"Employment  (x 1,000)18",1990,"5,114.30"
Ontario,"Employment  (x 1,000)19",1991,"4,932.10"
Ontario,"Employment  (x 1,000)20",1992,"4,855.80"
Ontario,"Employment  (x 1,000)21",1993,"4,864.30"
Ontario,"Employment  (x 1,000)22",1994,"4,931.60"
Ontario,"Employment  (x 1,000)23",1995,"5,018.20"
Ontario,"Employment  (x 1,000)24",1996,"5,087.10"
Ontario,"Employment  (x 1,000)25",1997,"5,205.50"
Ontario,"Employment  (x 1,000)26",1998,"5,367.40"
Ontario,"Employment  (x 1,000)27",1999,"5,547.30"
Ontario,"Employment  (x 1,000)28",2000,"5,726.30"
Ontario,"Employment  (x 1,000)29",2001,"5,827.40"
Ontario,"Employment  (x 1,000)30",2002,"5,928.50"
Ontario,"Employment  (x 1,000)31",2003,"6,095.40"
Ontario,"Employment  (x 1,000)32",2004,"6,193.40"
Ontario,"Employment  (x 1,000)33",2005,"6,250.50"
Ontario,"Employment  (x 1,000)34",2006,"6,322.80"
Ontario,"Employment  (x 1,000)35",2007,"6,402.60"
Ontario,"Employment  (x 1,000)36",2008,"6,438.00"
Ontario,"Employment  (x 1,000)37",2009,"6,253.40"
Ontario,"Employment  (x 1,000)38",2010,"6,337.40"
Ontario,"Employment  (x 1,000)39",2011,"6,444.70"
Ontario,"Employment  (x 1,000)40",2012,"6,465.40"
Ontario,"Employment  (x 1,000)41",2013,"6,564.40"
Ontario,"Employment  (x 1,000)42",2014,"6,592.40"
Ontario,"Employment  (x 1,000)43",2015,"6,626.20"
Ontario,"Employment  (x 1,000)44",2016,"6,694.80"
Ontario,"Employment  (x 1,000)45",2017,"6,804.20"
Ontario,"Employment  (x 1,000)46",2018,"6,919.50"
Ontario,"Unemployment  (x 1,000)5",1976,243.3
Ontario,"Unemployment  (x 1,000)6",1977,280.7
Ontario,"Unemployment  (x 1,000)7",1978,303.5
Ontario,"Unemployment  (x 1,000)8",1979,287.1
Ontario,"Unemployment  (x 1,000)9",1980,306.5
Ontario,"Unemployment  (x 1,000)10",1981,301.1
Ontario,"Unemployment  (x 1,000)11",1982,454.9
Ontario,"Unemployment  (x 1,000)12",1983,493.1
Ontario,"Unemployment  (x 1,000)13",1984,432.9
Ontario,"Unemployment  (x 1,000)14",1985,392.6
Ontario,"Unemployment  (x 1,000)15",1986,354.2
Ontario,"Unemployment  (x 1,000)16",1987,316.1
Ontario,"Unemployment  (x 1,000)17",1988,267.4
Ontario,"Unemployment  (x 1,000)18",1989,272.7
Ontario,"Unemployment  (x 1,000)19",1990,339.8
Ontario,"Unemployment  (x 1,000)20",1991,526
Ontario,"Unemployment  (x 1,000)21",1992,591.7
Ontario,"Unemployment  (x 1,000)22",1993,602
Ontario,"Unemployment  (x 1,000)23",1994,529.5
Ontario,"Unemployment  (x 1,000)24",1995,485.4
Ontario,"Unemployment  (x 1,000)25",1996,509.4
Ontario,"Unemployment  (x 1,000)26",1997,482.5
Ontario,"Unemployment  (x 1,000)27",1998,419.9
Ontario,"Unemployment  (x 1,000)28",1999,379.8
Ontario,"Unemployment  (x 1,000)29",2000,351.6
Ontario,"Unemployment  (x 1,000)30",2001,396.8
Ontario,"Unemployment  (x 1,000)31",2002,458.9
Ontario,"Unemployment  (x 1,000)32",2003,459.9
Ontario,"Unemployment  (x 1,000)33",2004,454.5
Ontario,"Unemployment  (x 1,000)34",2005,448.3
Ontario,"Unemployment  (x 1,000)35",2006,428.7
Ontario,"Unemployment  (x 1,000)36",2007,439.7
Ontario,"Unemployment  (x 1,000)37",2008,459.6
Ontario,"Unemployment  (x 1,000)38",2009,639
Ontario,"Unemployment  (x 1,000)39",2010,613.7
Ontario,"Unemployment  (x 1,000)40",2011,557.4
Ontario,"Unemployment  (x 1,000)41",2012,563.3
Ontario,"Unemployment  (x 1,000)42",2013,550.4
Ontario,"Unemployment  (x 1,000)43",2014,531.3
Ontario,"Unemployment  (x 1,000)44",2015,491.2
Ontario,"Unemployment  (x 1,000)45",2016,479.5
Ontario,"Unemployment  (x 1,000)46",2017,438.3
Ontario,"Unemployment  (x 1,000)47",2018,418.8
Ontario,Unemployment rate 6,1976,6.2
Ontario,Unemployment rate 7,1977,7
Ontario,Unemployment rate 8,1978,7.3
Ontario,Unemployment rate 9,1979,6.7
Ontario,Unemployment rate 10,1980,7
Ontario,Unemployment rate 11,1981,6.7
Ontario,Unemployment rate 12,1982,9.9
Ontario,Unemployment rate 13,1983,10.5
Ontario,Unemployment rate 14,1984,9.1
Ontario,Unemployment rate 15,1985,8
Ontario,Unemployment rate 16,1986,7.1
Ontario,Unemployment rate 17,1987,6.2
Ontario,Unemployment rate 18,1988,5.1
Ontario,Unemployment rate 19,1989,5.1
Ontario,Unemployment rate 20,1990,6.2
Ontario,Unemployment rate 21,1991,9.6
Ontario,Unemployment rate 22,1992,10.9
Ontario,Unemployment rate 23,1993,11
Ontario,Unemployment rate 24,1994,9.7
Ontario,Unemployment rate 25,1995,8.8
Ontario,Unemployment rate 26,1996,9.1
Ontario,Unemployment rate 27,1997,8.5
Ontario,Unemployment rate 28,1998,7.3
Ontario,Unemployment rate 29,1999,6.4
Ontario,Unemployment rate 30,2000,5.8
Ontario,Unemployment rate 31,2001,6.4
Ontario,Unemployment rate 32,2002,7.2
Ontario,Unemployment rate 33,2003,7
Ontario,Unemployment rate 34,2004,6.8
Ontario,Unemployment rate 35,2005,6.7
Ontario,Unemployment rate 36,2006,6.3
Ontario,Unemployment rate 37,2007,6.4
Ontario,Unemployment rate 38,2008,6.7
Ontario,Unemployment rate 39,2009,9.3
Ontario,Unemployment rate 40,2010,8.8
Ontario,Unemployment rate 41,2011,8
Ontario,Unemployment rate 42,2012,8
Ontario,Unemployment rate 43,2013,7.7
Ontario,Unemployment rate 44,2014,7.5
Ontario,Unemployment rate 45,2015,6.9
Ontario,Unemployment rate 46,2016,6.7
Ontario,Unemployment rate 47,2017,6.1
Ontario,Unemployment rate 48,2018,5.7
Manitoba,"Employment  (x 1,000)4",1976,426.5
Manitoba,"Employment  (x 1,000)5",1977,429.2
Manitoba,"Employment  (x 1,000)6",1978,434.5
Manitoba,"Employment  (x 1,000)7",1979,444.6
Manitoba,"Employment  (x 1,000)8",1980,452
Manitoba,"Employment  (x 1,000)9",1981,459.1
Manitoba,"Employment  (x 1,000)10",1982,449.9
Manitoba,"Employment  (x 1,000)11",1983,457.5
Manitoba,"Employment  (x 1,000)12",1984,469.2
Manitoba,"Employment  (x 1,000)13",1985,476.8
Manitoba,"Employment  (x 1,000)14",1986,490.4
Manitoba,"Employment  (x 1,000)15",1987,494.6
Manitoba,"Employment  (x 1,000)16",1988,496.5
Manitoba,"Employment  (x 1,000)17",1989,501.4
Manitoba,"Employment  (x 1,000)18",1990,503.4
Manitoba,"Employment  (x 1,000)19",1991,495.4
Manitoba,"Employment  (x 1,000)20",1992,490.3
Manitoba,"Employment  (x 1,000)21",1993,493.1
Manitoba,"Employment  (x 1,000)22",1994,496.8
Manitoba,"Employment  (x 1,000)23",1995,506.6
Manitoba,"Employment  (x 1,000)24",1996,508.3
Manitoba,"Employment  (x 1,000)25",1997,514.9
Manitoba,"Employment  (x 1,000)26",1998,523.9
Manitoba,"Employment  (x 1,000)27",1999,530.7
Manitoba,"Employment  (x 1,000)28",2000,540.4
Manitoba,"Employment  (x 1,000)29",2001,539.2
Manitoba,"Employment  (x 1,000)30",2002,553.2
Manitoba,"Employment  (x 1,000)31",2003,554.9
Manitoba,"Employment  (x 1,000)32",2004,560.7
Manitoba,"Employment  (x 1,000)33",2005,563.5
Manitoba,"Employment  (x 1,000)34",2006,568.7
Manitoba,"Employment  (x 1,000)35",2007,577.8
Manitoba,"Employment  (x 1,000)36",2008,583.8
Manitoba,"Employment  (x 1,000)37",2009,581
Manitoba,"Employment  (x 1,000)38",2010,588.4
Manitoba,"Employment  (x 1,000)39",2011,590.5
Manitoba,"Employment  (x 1,000)40",2012,600.2
Manitoba,"Employment  (x 1,000)41",2013,600.3
Manitoba,"Employment  (x 1,000)42",2014,603.1
Manitoba,"Employment  (x 1,000)43",2015,608.6
Manitoba,"Employment  (x 1,000)44",2016,604.5
Manitoba,"Employment  (x 1,000)45",2017,615
Manitoba,"Employment  (x 1,000)46",2018,614.9
Manitoba,"Unemployment  (x 1,000)5",1976,21
Manitoba,"Unemployment  (x 1,000)6",1977,26.1
Manitoba,"Unemployment  (x 1,000)7",1978,30.8
Manitoba,"Unemployment  (x 1,000)8",1979,26.3
Manitoba,"Unemployment  (x 1,000)9",1980,26.7
Manitoba,"Unemployment  (x 1,000)10",1981,29.5
Manitoba,"Unemployment  (x 1,000)11",1982,42.6
Manitoba,"Unemployment  (x 1,000)12",1983,49
Manitoba,"Unemployment  (x 1,000)13",1984,44.6
Manitoba,"Unemployment  (x 1,000)14",1985,43.8
Manitoba,"Unemployment  (x 1,000)15",1986,41.3
Manitoba,"Unemployment  (x 1,000)16",1987,40.6
Manitoba,"Unemployment  (x 1,000)17",1988,42.3
Manitoba,"Unemployment  (x 1,000)18",1989,41.2
Manitoba,"Unemployment  (x 1,000)19",1990,40.7
Manitoba,"Unemployment  (x 1,000)20",1991,47.3
Manitoba,"Unemployment  (x 1,000)21",1992,50.3
Manitoba,"Unemployment  (x 1,000)22",1993,51.3
Manitoba,"Unemployment  (x 1,000)23",1994,48.1
Manitoba,"Unemployment  (x 1,000)24",1995,40.1
Manitoba,"Unemployment  (x 1,000)25",1996,40.2
Manitoba,"Unemployment  (x 1,000)26",1997,36.2
Manitoba,"Unemployment  (x 1,000)27",1998,31.2
Manitoba,"Unemployment  (x 1,000)28",1999,32.1
Manitoba,"Unemployment  (x 1,000)29",2000,28.5
Manitoba,"Unemployment  (x 1,000)30",2001,28.8
Manitoba,"Unemployment  (x 1,000)31",2002,29.7
Manitoba,"Unemployment  (x 1,000)32",2003,29.3
Manitoba,"Unemployment  (x 1,000)33",2004,31.9
Manitoba,"Unemployment  (x 1,000)34",2005,28.4
Manitoba,"Unemployment  (x 1,000)35",2006,26.1
Manitoba,"Unemployment  (x 1,000)36",2007,27.1
Manitoba,"Unemployment  (x 1,000)37",2008,25.8
Manitoba,"Unemployment  (x 1,000)38",2009,32.6
Manitoba,"Unemployment  (x 1,000)39",2010,34.2
Manitoba,"Unemployment  (x 1,000)40",2011,35
Manitoba,"Unemployment  (x 1,000)41",2012,34.1
Manitoba,"Unemployment  (x 1,000)42",2013,34.6
Manitoba,"Unemployment  (x 1,000)43",2014,34.8
Manitoba,"Unemployment  (x 1,000)44",2015,36.9
Manitoba,"Unemployment  (x 1,000)45",2016,40.7
Manitoba,"Unemployment  (x 1,000)46",2017,36.1
Manitoba,"Unemployment  (x 1,000)47",2018,40
Manitoba,Unemployment rate 6,1976,4.7
Manitoba,Unemployment rate 7,1977,5.7
Manitoba,Unemployment rate 8,1978,6.6
Manitoba,Unemployment rate 9,1979,5.6
Manitoba,Unemployment rate 10,1980,5.6
Manitoba,Unemployment rate 11,1981,6
Manitoba,Unemployment rate 12,1982,8.6
Manitoba,Unemployment rate 13,1983,9.7
Manitoba,Unemployment rate 14,1984,8.7
Manitoba,Unemployment rate 15,1985,8.4
Manitoba,Unemployment rate 16,1986,7.8
Manitoba,Unemployment rate 17,1987,7.6
Manitoba,Unemployment rate 18,1988,7.9
Manitoba,Unemployment rate 19,1989,7.6
Manitoba,Unemployment rate 20,1990,7.5
Manitoba,Unemployment rate 21,1991,8.7
Manitoba,Unemployment rate 22,1992,9.3
Manitoba,Unemployment rate 23,1993,9.4
Manitoba,Unemployment rate 24,1994,8.8
Manitoba,Unemployment rate 25,1995,7.3
Manitoba,Unemployment rate 26,1996,7.3
Manitoba,Unemployment rate 27,1997,6.6
Manitoba,Unemployment rate 28,1998,5.6
Manitoba,Unemployment rate 29,1999,5.7
Manitoba,Unemployment rate 30,2000,5
Manitoba,Unemployment rate 31,2001,5.1
Manitoba,Unemployment rate 32,2002,5.1
Manitoba,Unemployment rate 33,2003,5
Manitoba,Unemployment rate 34,2004,5.4
Manitoba,Unemployment rate 35,2005,4.8
Manitoba,Unemployment rate 36,2006,4.4
Manitoba,Unemployment rate 37,2007,4.5
Manitoba,Unemployment rate 38,2008,4.2
Manitoba,Unemployment rate 39,2009,5.3
Manitoba,Unemployment rate 40,2010,5.5
Manitoba,Unemployment rate 41,2011,5.6
Manitoba,Unemployment rate 42,2012,5.4
Manitoba,Unemployment rate 43,2013,5.4
Manitoba,Unemployment rate 44,2014,5.5
Manitoba,Unemployment rate 45,2015,5.7
Manitoba,Unemployment rate 46,2016,6.3
Manitoba,Unemployment rate 47,2017,5.5
Manitoba,Unemployment rate 48,2018,6.1
Saskatchewan,"Employment  (x 1,000)4",1976,369.9
Saskatchewan,"Employment  (x 1,000)5",1977,382.7
Saskatchewan,"Employment  (x 1,000)6",1978,389.6
Saskatchewan,"Employment  (x 1,000)7",1979,404
Saskatchewan,"Employment  (x 1,000)8",1980,410.1
Saskatchewan,"Employment  (x 1,000)9",1981,418.4
Saskatchewan,"Employment  (x 1,000)10",1982,417
Saskatchewan,"Employment  (x 1,000)11",1983,423.4
Saskatchewan,"Employment  (x 1,000)12",1984,429.6
Saskatchewan,"Employment  (x 1,000)13",1985,439.6
Saskatchewan,"Employment  (x 1,000)14",1986,448.3
Saskatchewan,"Employment  (x 1,000)15",1987,446.8
Saskatchewan,"Employment  (x 1,000)16",1988,448
Saskatchewan,"Employment  (x 1,000)17",1989,441.5
Saskatchewan,"Employment  (x 1,000)18",1990,439.8
Saskatchewan,"Employment  (x 1,000)19",1991,437.6
Saskatchewan,"Employment  (x 1,000)20",1992,431.5
Saskatchewan,"Employment  (x 1,000)21",1993,431.7
Saskatchewan,"Employment  (x 1,000)22",1994,437.6
Saskatchewan,"Employment  (x 1,000)23",1995,439.9
Saskatchewan,"Employment  (x 1,000)24",1996,438.9
Saskatchewan,"Employment  (x 1,000)25",1997,448.5
Saskatchewan,"Employment  (x 1,000)26",1998,452.8
Saskatchewan,"Employment  (x 1,000)27",1999,453.8
Saskatchewan,"Employment  (x 1,000)28",2000,454.9
Saskatchewan,"Employment  (x 1,000)29",2001,443.9
Saskatchewan,"Employment  (x 1,000)30",2002,453.1
Saskatchewan,"Employment  (x 1,000)31",2003,460.5
Saskatchewan,"Employment  (x 1,000)32",2004,463.6
Saskatchewan,"Employment  (x 1,000)33",2005,464.3
Saskatchewan,"Employment  (x 1,000)34",2006,472.8
Saskatchewan,"Employment  (x 1,000)35",2007,486.6
Saskatchewan,"Employment  (x 1,000)36",2008,497.9
Saskatchewan,"Employment  (x 1,000)37",2009,505.3
Saskatchewan,"Employment  (x 1,000)38",2010,510.1
Saskatchewan,"Employment  (x 1,000)39",2011,513.9
Saskatchewan,"Employment  (x 1,000)40",2012,524.3
Saskatchewan,"Employment  (x 1,000)41",2013,538.7
Saskatchewan,"Employment  (x 1,000)42",2014,541.6
Saskatchewan,"Employment  (x 1,000)43",2015,545.8
Saskatchewan,"Employment  (x 1,000)44",2016,539.3
Saskatchewan,"Employment  (x 1,000)45",2017,537
Saskatchewan,"Employment  (x 1,000)46",2018,537.6
Saskatchewan,"Unemployment  (x 1,000)5",1976,15.2
Saskatchewan,"Unemployment  (x 1,000)6",1977,17.9
Saskatchewan,"Unemployment  (x 1,000)7",1978,20.4
Saskatchewan,"Unemployment  (x 1,000)8",1979,18
Saskatchewan,"Unemployment  (x 1,000)9",1980,18.9
Saskatchewan,"Unemployment  (x 1,000)10",1981,20.3
Saskatchewan,"Unemployment  (x 1,000)11",1982,28.6
Saskatchewan,"Unemployment  (x 1,000)12",1983,36.2
Saskatchewan,"Unemployment  (x 1,000)13",1984,38.8
Saskatchewan,"Unemployment  (x 1,000)14",1985,40
Saskatchewan,"Unemployment  (x 1,000)15",1986,38.4
Saskatchewan,"Unemployment  (x 1,000)16",1987,36.4
Saskatchewan,"Unemployment  (x 1,000)17",1988,36.5
Saskatchewan,"Unemployment  (x 1,000)18",1989,36
Saskatchewan,"Unemployment  (x 1,000)19",1990,34.2
Saskatchewan,"Unemployment  (x 1,000)20",1991,35.8
Saskatchewan,"Unemployment  (x 1,000)21",1992,38.5
Saskatchewan,"Unemployment  (x 1,000)22",1993,40.3
Saskatchewan,"Unemployment  (x 1,000)23",1994,33.4
Saskatchewan,"Unemployment  (x 1,000)24",1995,32.9
Saskatchewan,"Unemployment  (x 1,000)25",1996,31.9
Saskatchewan,"Unemployment  (x 1,000)26",1997,29.1
Saskatchewan,"Unemployment  (x 1,000)27",1998,28.7
Saskatchewan,"Unemployment  (x 1,000)28",1999,30
Saskatchewan,"Unemployment  (x 1,000)29",2000,25.4
Saskatchewan,"Unemployment  (x 1,000)30",2001,28
Saskatchewan,"Unemployment  (x 1,000)31",2002,28
Saskatchewan,"Unemployment  (x 1,000)32",2003,28
Saskatchewan,"Unemployment  (x 1,000)33",2004,26.6
Saskatchewan,"Unemployment  (x 1,000)34",2005,25.3
Saskatchewan,"Unemployment  (x 1,000)35",2006,23.9
Saskatchewan,"Unemployment  (x 1,000)36",2007,22
Saskatchewan,"Unemployment  (x 1,000)37",2008,21.3
Saskatchewan,"Unemployment  (x 1,000)38",2009,26.6
Saskatchewan,"Unemployment  (x 1,000)39",2010,28.8
Saskatchewan,"Unemployment  (x 1,000)40",2011,27.2
Saskatchewan,"Unemployment  (x 1,000)41",2012,26.7
Saskatchewan,"Unemployment  (x 1,000)42",2013,23.4
Saskatchewan,"Unemployment  (x 1,000)43",2014,22.2
Saskatchewan,"Unemployment  (x 1,000)44",2015,29.6
Saskatchewan,"Unemployment  (x 1,000)45",2016,37
Saskatchewan,"Unemployment  (x 1,000)46",2017,36.7
Saskatchewan,"Unemployment  (x 1,000)47",2018,36.3
Saskatchewan,Unemployment rate 6,1976,3.9
Saskatchewan,Unemployment rate 7,1977,4.5
Saskatchewan,Unemployment rate 8,1978,5
Saskatchewan,Unemployment rate 9,1979,4.3
